sub,ses,task,run,median_value,filename
0124,02,alignvideo,1,62.5047607421875,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-alignvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,fractional,2,61.583194732666016,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-fractional_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,narratives,2,55.42089080810547,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-narratives_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,social,5,59.87663269042969,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-social_acq-mb8_run-5_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,alignvideo,4,59.21197509765625,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-alignvideo_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,narratives,1,52.882389068603516,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-narratives_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,04,social,2,52.66088104248047,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-04_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,shortvideo,1,49.572383880615234,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-shortvideo_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,faces,2,59.49961471557617,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-faces_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,02,faces,3,61.562103271484375,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-02_task-faces_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,01,alignvideo,4,56.20620346069336,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-01_task-alignvideo_acq-mb8_run-4_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0124,03,alignvideo,3,59.58115005493164,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0124/sub-0124_ses-03_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0032,01,alignvideo,3,46.5352668762207,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0032/sub-0032_ses-01_task-alignvideo_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0032,04,alignvideo,2,49.871315002441406,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0032/sub-0032_ses-04_task-alignvideo_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0032,04,social,2,48.92915344238281,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0032/sub-0032_ses-04_task-social_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0032,02,narratives,3,44.1632080078125,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0032/sub-0032_ses-02_task-narratives_acq-mb8_run-3_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0032,03,social,1,40.643821716308594,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0032/sub-0032_ses-03_task-social_acq-mb8_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
0032,04,fractional,2,39.610023498535156,/dartfs-hpc/scratch/f0042x1/tsnr/sub-0032/sub-0032_ses-04_task-fractional_acq-mb8_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold_tsnr.nii.gz
